id	action	subject	created_at	updated_at
1	create	admin	2025-05-18 23:47:47	2025-05-18 23:47:47
2	read	admin	2025-05-18 23:47:47	2025-05-18 23:47:47
3	update	admin	2025-05-18 23:47:47	2025-05-18 23:47:47
4	delete	admin	2025-05-18 23:47:47	2025-05-18 23:47:47
5	manage	admin	2025-05-18 23:47:47	2025-05-18 23:47:47
6	create	auth	2025-05-18 23:47:47	2025-05-18 23:47:47
7	read	auth	2025-05-18 23:47:47	2025-05-18 23:47:47
8	update	auth	2025-05-18 23:47:47	2025-05-18 23:47:47
9	delete	auth	2025-05-18 23:47:47	2025-05-18 23:47:47
10	manage	auth	2025-05-18 23:47:47	2025-05-18 23:47:47
11	create	manager	2025-05-18 23:47:47	2025-05-18 23:47:47
12	read	manager	2025-05-18 23:47:47	2025-05-18 23:47:47
13	update	manager	2025-05-18 23:47:47	2025-05-18 23:47:47
14	delete	manager	2025-05-18 23:47:47	2025-05-18 23:47:47
15	manage	manager	2025-05-18 23:47:47	2025-05-18 23:47:47
16	create	client	2025-05-18 23:47:47	2025-05-18 23:47:47
17	read	client	2025-05-18 23:47:47	2025-05-18 23:47:47
18	update	client	2025-05-18 23:47:47	2025-05-18 23:47:47
19	delete	client	2025-05-18 23:47:47	2025-05-18 23:47:47
20	manage	client	2025-05-18 23:47:47	2025-05-18 23:47:47
21	create	user	2025-05-18 23:47:47	2025-05-18 23:47:47
22	read	user	2025-05-18 23:47:47	2025-05-18 23:47:47
23	update	user	2025-05-18 23:47:47	2025-05-18 23:47:47
24	delete	user	2025-05-18 23:47:47	2025-05-18 23:47:47
25	manage	user	2025-05-18 23:47:47	2025-05-18 23:47:47
26	create	all	2025-05-18 23:47:47	2025-05-18 23:47:47
27	read	all	2025-05-18 23:47:47	2025-05-18 23:47:47
28	update	all	2025-05-18 23:47:47	2025-05-18 23:47:47
29	delete	all	2025-05-18 23:47:47	2025-05-18 23:47:47
30	manage	all	2025-05-18 23:47:47	2025-05-18 23:47:47
31	create	account	2025-05-18 23:47:47	2025-05-18 23:47:47
32	read	account	2025-05-18 23:47:47	2025-05-18 23:47:47
33	update	account	2025-05-18 23:47:47	2025-05-18 23:47:47
34	delete	account	2025-05-18 23:47:47	2025-05-18 23:47:47
35	manage	account	2025-05-18 23:47:47	2025-05-18 23:47:47
36	create	projects	2025-05-18 23:47:47	2025-05-18 23:47:47
37	read	projects	2025-05-18 23:47:47	2025-05-18 23:47:47
38	update	projects	2025-05-18 23:47:47	2025-05-18 23:47:47
39	delete	projects	2025-05-18 23:47:47	2025-05-18 23:47:47
40	manage	projects	2025-05-18 23:47:47	2025-05-18 23:47:47
41	create	messages	2025-05-18 23:47:47	2025-05-18 23:47:47
42	read	messages	2025-05-18 23:47:47	2025-05-18 23:47:47
43	update	messages	2025-05-18 23:47:47	2025-05-18 23:47:47
44	delete	messages	2025-05-18 23:47:47	2025-05-18 23:47:47
45	manage	messages	2025-05-18 23:47:47	2025-05-18 23:47:47
